County,Tabulator ID,Batch ID,# of Ballot Cards,Location
La Plata,201,181,50,Bin # 4
La Plata,201,182,50,Bin # 4
La Plata,201,183,50,Bin # 4
La Plata,201,184,50,Bin # 4
La Plata,201,185,50,Bin # 4
La Plata,201,186,50,Bin # 4
La Plata,201,187,50,Bin # 4
La Plata,201,188,50,Bin # 4
La Plata,201,189,50,Bin # 4
La Plata,201,190,50,Bin # 4
La Plata,201,191,50,Bin # 4
La Plata,201,192,50,Bin # 4
La Plata,201,193,50,Bin # 4
La Plata,201,194,50,Bin # 4
La Plata,201,195,50,Bin # 4
La Plata,201,196,50,Bin # 4
La Plata,201,197,50,Bin # 4
La Plata,201,198,50,Bin # 4
La Plata,201,199,50,Bin # 4
La Plata,201,200,50,Bin # 4
La Plata,201,201,50,Bin # 5
La Plata,201,202,50,Bin # 5
La Plata,201,203,50,Bin # 5
La Plata,201,204,50,Bin # 5
La Plata,201,205,50,Bin # 5
La Plata,201,206,50,Bin # 5
La Plata,201,207,50,Bin # 5
La Plata,201,208,50,Bin # 5
La Plata,201,209,50,Bin # 5
La Plata,201,210,50,Bin # 5
La Plata,201,211,50,Bin # 5
La Plata,201,212,50,Bin # 5
La Plata,201,213,50,Bin # 5
La Plata,201,214,50,Bin # 5
La Plata,201,215,50,Bin # 5
La Plata,201,216,50,Bin # 5
La Plata,201,217,50,Bin # 5
La Plata,201,218,50,Bin # 5
La Plata,201,219,50,Bin # 5
La Plata,201,220,50,Bin # 5
La Plata,201,221,50,Bin # 5
La Plata,201,222,50,Bin # 5
La Plata,201,223,50,Bin # 5
La Plata,201,224,50,Bin # 5
La Plata,201,225,50,Bin # 5
La Plata,201,226,50,Bin # 5
La Plata,201,227,50,Bin # 5
La Plata,201,228,50,Bin # 5
La Plata,201,229,50,Bin # 5
La Plata,201,230,50,Bin # 5
